0,0,1.936e+01,-9.76E+00,216.676,1.936e+01,86.066,3.152e+01
5,0,1.933e+01,-1.26E+01,226.374,1.933e+01,94.376,3.447e+01
10,0,1.927e+01,-1.55E+01,243.459,1.927e+01,102.486,3.880e+01
15,0,1.917e+01,-1.75E+01,269.291,1.917e+01,110.2,4.000e+01
20,0,1.904e+01,-1.76E+01,294.684,1.904e+01,117.353,4.000e+01
25,0,1.886e+01,-1.67E+01,310.825,1.886e+01,123.822,4.000e+01
30,0,1.861e+01,-1.59E+01,319.319,1.861e+01,129.538,4.000e+01
35,0,1.829e+01,-1.56E+01,323.451,1.829e+01,134.467,4.000e+01
40,0,1.789e+01,-1.57E+01,325.167,1.789e+01,138.602,4.000e+01
45,0,1.740e+01,-1.62E+01,325.543,1.740e+01,141.947,4.000e+01
50,0,1.683e+01,-1.69E+01,325.27,1.683e+01,144.509,4.000e+01
55,0,1.619e+01,-1.80E+01,324.917,1.619e+01,146.295,4.000e+01
60,0,1.548e+01,-1.94E+01,325.073,1.548e+01,147.3,4.000e+01
65,0,1.472e+01,-2.12E+01,326.586,1.472e+01,147.516,4.000e+01
70,0,1.390e+01,-2.35E+01,330.996,1.390e+01,146.928,4.000e+01
75,0,1.305e+01,-2.64E+01,341.979,1.305e+01,145.521,4.000e+01
80,0,1.217e+01,-2.96E+01,8.82,1.217e+01,143.276,4.000e+01
85,0,1.126e+01,-2.95E+01,52.853,1.126e+01,140.179,4.000e+01
90,0,1.033e+01,-2.60E+01,81.708,1.033e+01,136.222,3.807e+01
95,0,9.387e+00,-2.26E+01,95.438,9.385e+00,131.4,3.657e+01
100,0,8.421e+00,-1.98E+01,103.44,8.416e+00,125.708,3.669e+01
105,0,7.429e+00,-1.76E+01,109.341,7.415e+00,119.132,4.000e+01
110,0,6.397e+00,-1.58E+01,114.485,6.371e+00,111.631,4.000e+01
115,0,5.311e+00,-1.41E+01,119.412,5.265e+00,103.11,3.054e+01
120,0,4.147e+00,-1.27E+01,124.334,4.081e+00,93.388,2.272e+01
125,0,2.884e+00,-1.15E+01,129.299,2.809e+00,82.151,1.714e+01
130,0,1.518e+00,-1.04E+01,134.269,1.466e+00,68.94,1.279e+01
135,0,1.308e-01,-9.44E+00,139.172,1.281e-01,53.218,9.598e+00
140,0,-9.48E-01,-8.67E+00,143.92,-1.04E+00,34.717,8.310e+00
145,0,-1.30E+00,-8.09E+00,148.439,-1.83E+00,14.103,1.023e+01
150,0,-1.17E+00,-7.75E+00,152.679,-2.12E+00,353.215,1.664e+01
155,0,-1.01E+00,-7.72E+00,156.628,-2.06E+00,333.929,3.429e+01
160,0,-1.06E+00,-8.07E+00,160.31,-1.88E+00,316.894,1.585e+01
165,0,-1.34E+00,-8.92E+00,163.813,-1.81E+00,301.634,1.152e+01
170,0,-1.77E+00,-1.05E+01,167.344,-1.93E+00,287.2,1.013e+01
175,0,-2.21E+00,-1.33E+01,171.499,-2.22E+00,272.626,1.123e+01
180,0,-2.56E+00,-1.86E+01,179.118,-2.57E+00,257.233,1.626e+01
185,0,-2.77E+00,-3.23E+01,261.726,-2.78E+00,241.076,3.857e+01
190,0,-2.66E+00,-1.79E+01,339.454,-2.69E+00,225.278,1.608e+01
195,0,-2.06E+00,-1.21E+01,346.159,-2.29E+00,211.539,1.319e+01
200,0,-1.15E+00,-8.77E+00,348.981,-1.76E+00,201.05,1.373e+01
205,0,-2.80E-01,-6.67E+00,350.653,-1.25E+00,194.09,1.537e+01
210,0,3.557e-01,-5.32E+00,351.74,-8.94E-01,190.427,1.681e+01
215,0,7.099e-01,-4.50E+00,352.424,-7.32E-01,189.747,1.717e+01
220,0,7.882e-01,-4.11E+00,352.771,-7.60E-01,191.844,1.616e+01
225,0,6.114e-01,-4.08E+00,352.787,-9.40E-01,196.651,1.411e+01
230,0,2.090e-01,-4.40E+00,352.434,-1.20E+00,204.193,1.159e+01
235,0,-3.63E-01,-5.03E+00,351.619,-1.43E+00,214.463,9.086e+00
240,0,-9.47E-01,-5.99E+00,350.164,-1.50E+00,227.226,7.117e+00
245,0,-1.16E+00,-7.31E+00,347.726,-1.26E+00,241.823,6.596e+00
250,0,-6.45E-01,-9.05E+00,343.613,-6.48E-01,257.194,8.423e+00
255,0,3.836e-01,-1.13E+01,336.299,3.235e-01,272.239,1.266e+01
260,0,1.645e+00,-1.41E+01,322.118,1.567e+00,286.224,2.044e+01
265,0,3.026e+00,-1.66E+01,294.025,2.979e+00,298.873,4.000e+01
270,0,4.489e+00,-1.62E+01,256.386,4.476e+00,310.221,2.253e+01
275,0,6.000e+00,-1.33E+01,231.6,6.000e+00,320.429,1.934e+01
280,0,7.521e+00,-1.05E+01,219.225,7.513e+00,329.688,1.863e+01
285,0,9.016e+00,-8.26E+00,212.663,8.988e+00,338.172,1.909e+01
290,0,1.046e+01,-6.43E+00,208.844,1.041e+01,346.034,2.029e+01
295,0,1.182e+01,-4.97E+00,206.468,1.175e+01,353.408,2.211e+01
300,0,1.309e+01,-3.79E+00,204.931,1.302e+01,0.407,2.459e+01
305,0,1.426e+01,-2.86E+00,203.924,1.418e+01,7.137,2.798e+01
310,0,1.531e+01,-2.16E+00,203.278,1.523e+01,13.693,3.312e+01
315,0,1.624e+01,-1.69E+00,202.899,1.617e+01,20.164,4.000e+01
320,0,1.705e+01,-1.44E+00,202.736,1.699e+01,26.637,4.000e+01
325,0,1.773e+01,-1.42E+00,202.773,1.767e+01,33.194,3.405e+01
330,0,1.827e+01,-1.66E+00,203.02,1.823e+01,39.915,3.070e+01
335,0,1.869e+01,-2.15E+00,203.518,1.866e+01,46.87,2.892e+01
